timestamp,city,temperature,description
2026-04-16T19:12:59.514Z,Antalya,19.36,overcast clouds
2026-04-16T20:47:27.448Z,Antalya,19.94,moderate rain
2026-04-16T22:39:12.184Z,Antalya,20.37,moderate rain
2026-04-17T02:32:31.289Z,Antalya,20.14,moderate rain
2026-04-17T06:03:03.126Z,Antalya,22.33,broken clouds
2026-04-17T09:17:11.226Z,Antalya,21.33,light rain
2026-04-17T10:55:28.743Z,Antalya,20.32,light rain
2026-04-17T13:18:40.930Z,Antalya,19.33,thunderstorm with light rain
2026-04-17T14:55:17.764Z,Antalya,18.33,broken clouds
2026-04-17T16:54:51.816Z,Antalya,17.61,overcast clouds
2026-04-17T18:59:57.030Z,Antalya,17.33,broken clouds
2026-04-17T20:42:30.386Z,Antalya,17.53,overcast clouds
2026-04-17T22:38:16.732Z,Antalya,16.83,overcast clouds
2026-04-18T02:23:04.745Z,Antalya,16.02,heavy intensity rain
2026-04-18T05:40:46.506Z,Antalya,15.33,broken clouds
2026-04-18T07:06:53.276Z,Antalya,18.33,scattered clouds
2026-04-18T08:50:30.175Z,Antalya,16.71,overcast clouds
2026-04-18T10:39:41.053Z,Antalya,22.33,scattered clouds
2026-04-18T13:01:13.862Z,Antalya,17.13,few clouds
2026-04-18T14:39:00.432Z,Antalya,20.33,scattered clouds
2026-04-18T16:39:37.740Z,Antalya,17.72,scattered clouds
2026-04-18T18:51:33.159Z,Antalya,18.33,broken clouds
2026-04-18T20:36:37.159Z,Antalya,17.27,broken clouds
2026-04-18T22:34:30.467Z,Antalya,17.32,overcast clouds
2026-04-19T02:37:31.726Z,Antalya,16.33,broken clouds
2026-04-19T05:57:50.792Z,Antalya,17.27,overcast clouds
2026-04-19T07:39:59.201Z,Antalya,20.33,scattered clouds
2026-04-19T08:53:39.186Z,Antalya,18.57,overcast clouds
2026-04-19T10:38:36.928Z,Antalya,19.62,overcast clouds
2026-04-19T13:00:25.929Z,Antalya,20.41,scattered clouds
2026-04-19T14:38:50.154Z,Antalya,20.23,scattered clouds
2026-04-19T16:39:19.597Z,Antalya,18.24,few clouds
2026-04-19T18:51:19.964Z,Antalya,17.33,clear sky
2026-04-19T20:37:06.970Z,Antalya,15.33,clear sky
2026-04-19T22:35:24.112Z,Antalya,16.33,clear sky
2026-04-20T02:38:13.829Z,Antalya,15.6,clear sky
2026-04-20T06:13:55.716Z,Antalya,17.33,clear sky
2026-04-20T09:57:58.494Z,Antalya,19.91,clear sky
2026-04-20T11:24:11.431Z,Antalya,19.93,clear sky
2026-04-20T13:28:25.095Z,Antalya,19.7,clear sky
2026-04-20T15:15:37.405Z,Antalya,20.33,few clouds
2026-04-20T17:03:19.056Z,Antalya,18.33,few clouds
